"","year","make","model","price","mileage","ratings"
"117",2014,"Ford","Explorer","19999","74891","4.5  "
"118",2009,"Lexus","LX","24990","133542","4.8  "
"119",1991,"Acura","NSX","59991","32625","4.8  "
"120",2004,"Ford","Excursion","25992","77841","4.8  "
"121",2009,"Cadillac","DTS","12995","36464","5  "
"122",2018,"smart","ForTwo","28470",NA,"4.9  "
"123",2016,"Mercedes","Benz","41998","18497","4.9  "
"124",2016,"Ford","Explorer","24498","27791","4.9  "
"125",2018,"Audi","S5","55989","3555","4.8  "
"126",2018,"smart","ForTwo","26780",NA,"4.9  "
"127",2016,"BMW","X6","69990","16557","4.9  "
"128",2005,"Honda","Civic","6000","69889","4.4  "
"129",2016,"Volvo","XC90","29875","81579","4.8  "
"130",2011,"Subaru","Outback","13998","72646","4.3  "
"131",2008,"Honda","Civic","5898","119106","4.3  "
"132",2015,"BMW","X1","19998","31054","4.8  "
"133",2014,"Jeep","Grand","39990","60855","4.8  "
"134",2018,"Land","Rover","48995","21350","4.8  "
"135",2007,"Porsche","911","61998","32125","4.9  "
"136",2015,"Audi","A6","23895","64485","4.8  "
"137",2016,"BMW","i8","81798","13492","4.7  "
"138",2016,"Toyota","RAV4","19991","10417","4.7  "
"139",2013,"INFINITI","JX35","14490","118589","5  "
"140",2006,"Saab","9","5990","92447","5  "
"141",2015,"Audi","S4","38888","27910","4.8  "
"142",2017,"Tesla","Model","76998","13452","4.7  "
"143",2016,"Toyota","Camry","9998","113567","4.9  "
"144",2015,"Ford","F","22495","37009","3.9  "
"145",2012,"Acura","MDX","14900","112598","4.8  "
"146",2017,"Ford","Escape","14000","39072","4.8  "
"147",2015,"Audi","Q5","27485","44385","4.7  "
"148",2015,"GMC","Sierra","28985","54455","4.7  "
"149",2014,"Hyundai","Santa","16870","35094","4.6  "
"150",2017,"Jeep","Compass","22985","5892","4.7  "
"151",2010,"Scion","xB","4990","91737","4.8  "
"152",2011,"Volvo","S80","12000","76466","4.6  "
"153",1999,"Toyota","Camry","3995","81385",NA
"154",2004,"Ford","Mustang","3495","77189","3.3  "
"155",2004,"Volvo","XC70","5795","95377","5  "
"156",2018,"Volkswagen","Golf","24688","12666","4.7  "
"157",2010,"Mazda","RX","11997","28138","4.6  "
"158",2003,"Pontiac","Grand","3995","56824","5  "
"159",2014,"Jeep","Grand","21988","75137","4.5  "
"160",2013,"Mercedes","Benz","14923","99963","4.4  "
"161",2015,"BMW","328d","31491","32926","4.9  "
"162",2010,"Chevrolet","Impala","7900","19119","4.7  "
"163",2017,"Toyota","Highlander","38200","10677","4.7  "
"164",2014,"Mercedes","Benz","34995","51950","4.8  "
"165",2015,"BMW","320","18987","27641","4.8  "
"166",2004,"Ford","Mustang","4995","79391",NA
"167",2007,"Lexus","ES","4500","221775","3.1  "
"168",2018,"Volkswagen","Tiguan","21900","48857","4.5  "
"169",2014,"Ford","Shelby","47325","1772",NA
"170",2007,"Cadillac","Escalade","13990","126279","4.7  "
"171",2017,"Hyundai","Santa","15990","47909","4.7  "
"172",2017,"Lexus","RC","54799","6872","5  "
"173",2015,"Toyota","Highlander","26250","25800","4.7  "
"174",2015,"Toyota","Tundra","32488","64311","4.7  "
"175",2005,"Ford","Explorer","2995","210568","4.7  "
"176",2012,"Land","Rover","13995","66173","4.6  "
"177",2016,"Mazda","CX","14862","59581","4.9  "
"178",2011,"Lexus","IS","33495","49056","4.6  "
"179",2014,"Mercedes","Benz","18995","25781","4.6  "
"180",2009,"Dodge","Ram","13987","80190","4.5  "
"181",2012,"Ford","F","23988","65387","4.5  "
"182",2009,"Subaru","Outback","4499","184265",NA
