"","year","make","model","price","mileage","ratings"
"1221",2006,"Ford","F","17990","116139","4.8  "
"1222",2016,"Acura","RDX","28494","17816","4.9  "
"1223",2013,"Subaru","Impreza","18990","56940","2.8  "
"1224",2011,"Saab","9","12995","61881","4.1  "
"1225",2018,"smart","ForTwo","32680",NA,"4.4  "
"1226",2015,"Toyota","RAV4","17500","40864","4.4  "
"1227",2014,"Nissan","Frontier","18998","67497","4.8  "
"1228",2015,"Audi","A3","25998","33317","4.9  "
"1229",2017,"Audi","A4","25998","28041","4.9  "
"1230",2018,"Cadillac","XTS","36615","11942","4.9  "
"1231",2012,"BMW","X5","14999","84156",NA
"1232",2013,"Nissan","Rogue","8199","119592","5  "
"1233",2015,"Acura","MDX","27978","32659","4.8  "
"1234",2016,"BMW","328","23995","28717","4.8  "
"1235",2013,"Ford","F","26884","66395","4.3  "
"1236",2013,"Honda","CR","15987","48315","4.9  "
"1237",2011,"Honda","Pilot","15995","80404","5  "
"1238",2016,"Jeep","Wrangler","26400","16899","4.8  "
"1239",2018,"Audi","Q7","63488","277","4.8  "
"1240",2007,"Nissan","Altima","4950","77040","4.5  "
"1241",2011,"Audi","Q5","16888","52594","4.8  "
"1242",2005,"Volvo","S40","9990","59741","5  "
"1243",2007,"Chevrolet","Tahoe","17995","72570","5  "
"1244",2015,"Jeep","Cherokee","19999","34575","4.9  "
"1245",2017,"Audi","A4","41290","6956","4.8  "
"1246",2018,"Audi","Q7","64988","7377","4.8  "
"1247",2015,"Maserati","Ghibli","31500","45431","3  "
"1248",2012,"Nissan","Versa","7690","45353",NA
"1249",2013,"Jeep","Wrangler","19957","111825","4.3  "
"1250",2010,"Saab","9","7900","68454","4.9  "
"1251",2015,"Lexus","GS","28000","38282","4.6  "
"1252",2015,"Lexus","CT","16685","40666","4.7  "
"1253",2016,"Ford","F","31500","27022","4.6  "
"1254",2017,"Audi","A4","28000","50709","4.6  "
"1255",2017,"Jeep","Grand","28500","28301","4.6  "
"1256",2017,"Subaru","Crosstrek","20000","43687","4.6  "
"1257",2018,"Chevrolet","Camaro","27000","10871","4.6  "
"1258",2018,"Volvo","XC90","44898","19273","4.9  "
"1259",2018,"Land","Rover","69600","10139","4.9  "
"1260",2018,"Honda","Civic","35595",NA,"4.4  "
"1261",2018,"Volvo","XC90","43450","26869","5  "
"1262",2005,"Mercedes","Benz","14995","74822","4  "
"1263",2015,"Subaru","WRX","22900","40550","5  "
"1264",2008,"Mercedes","Benz","9500","115153","3.1  "
"1265",2017,"Nissan","Leaf","15998","11150",NA
"1266",2009,"Ford","Mustang","15000","58195","3.1  "
"1267",2017,"Volvo","S60","18999","33482","4.7  "
"1268",2016,"BMW","340","34300","30081","4.8  "
"1269",2015,"BMW","435","28900","30914","4.8  "
"1270",2002,"Jeep","Liberty","3995","122620","4  "
"1271",2015,"Toyota","Sienna","18490","36279","4.7  "
"1272",2012,"Porsche","911","72899","22648","5  "
"1273",2015,"Toyota","Camry","15644","28682","4.7  "
"1274",2007,"Toyota","RAV4","9999","83716","1  "
"1275",2017,"Toyota","Highlander","34490","18510","4.7  "
"1276",2013,"Mercedes","Benz","15495","60389","4.6  "
"1277",2013,"Dodge","Dart","9995","45637","4.6  "
"1278",2013,"BMW","650","27995","66304","4.6  "
"1279",2012,"Jeep","Wrangler","18495","69287","4.6  "
"1280",2015,"BMW","i3","20995","21574",NA
"1281",2003,"Jeep","Wrangler","7995","125375","5  "
"1282",2015,"Mazda","CX","16980","25481","4.9  "
"1283",2003,"Audi","A4","2499","163269","4.2  "
"1284",2014,"Mazda","Mazda3","11898","41049","5  "
"1285",2018,"Ford","F","33990","3091","4.9  "
"1286",2016,"Honda","Accord","17990","32221","4.9  "
"1287",2010,"Toyota","Tacoma","19980","80315","4.8  "
"1288",2015,"Jeep","Grand","19997","46865","4.6  "
"1289",2008,"Ford","F","12199","96045","4.4  "
"1290",2014,"Volkswagen","Passat","14480","34349","4.8  "
"1291",2015,"Mercedes","Benz","56900","35425","4.7  "
"1292",2016,"RAM","3500","33988","53300","4.8  "
"1293",2017,"Ford","F","59400","31958","4.7  "
"1294",2013,"Audi","RS","59977","509","4.1  "
"1295",2015,"Toyota","Camry","13995","34984","4.8  "
"1296",2009,"Chevrolet","Express","13995","65807","5  "
"1297",2012,"Toyota","Corolla","7788","94474","4.9  "
"1298",2007,"Mercedes","Benz","8595","151345",NA
"1299",2010,"Volkswagen","Jetta","5500","123415",NA
"1300",2016,"Ford","Fusion","13000","43339","4.9  "
"1301",2013,"Chevrolet","Silverado","19999","63647","4.7  "
"1302",2013,"RAM","1500","25000","70031","4.7  "
"1303",2016,"Mazda","Mazda6","14326","26564","5  "
"1304",2003,"Ford","Excursion","15950","129835","5  "
"1305",2007,"Toyota","Tundra","13990","124830","5  "
"1306",2001,"Jeep","Wrangler","10995","82816","5  "
"1307",2012,"RAM","2500","19980","126895","4.8  "
"1308",1999,"Volvo","S80","2495","81455","4.7  "
"1309",2004,"Toyota","Tacoma","11495","125799","4.3  "
"1310",2014,"Mercedes","Benz","22990","39694","1  "
"1311",2013,"Audi","A5","14995","69880","3.8  "
"1312",2007,"BMW","M5","19995","99707","4.2  "
"1313",2015,"Jeep","Grand","24901","19292","5  "
"1314",2008,"Dodge","Grand","4498","131253",NA
"1315",2012,"Nissan","Rogue","10266","91073","4.8  "
"1316",2016,"Subaru","WRX","20997","65452","4.8  "
"1317",2005,"Honda","Element","3995","198003","5  "
"1318",2010,"Subaru","Outback","4900","186455","4.5  "
"1319",2013,"Dodge","Challenger","17995","28995","4.8  "
"1320",2007,"Land","Rover","9977","109885","4.5  "
"1321",2004,"Acura","TL","4981","142260","4.3  "
"1322",2015,"Land","Rover","64900","24491","3.8  "
"1323",2005,"Acura","TSX","5990","149091","4.8  "
"1324",2008,"Suzuki","Grand","3990","161929","3  "
"1325",2015,"BMW","435","27990","34289","4.8  "
"1326",2005,"Honda","Civic","5495","87594","5  "
"1327",2015,"Jeep","Grand","23000","17368","4.8  "
"1328",2015,"Toyota","Sienna","22991","33460","4.9  "
"1329",2008,"Mercury","Milan","3990","138958","5  "
"1330",2014,"Mercedes","Benz","30994","69529","4.4  "
"1331",2018,"Audi","A4","35998","8807","4.9  "
"1332",2009,"Mitsubishi","Lancer","5597","141238","4.9  "
"1333",2013,"Audi","allroad","19617","59277","4.8  "
"1334",2018,"Nissan","Frontier","28990","550","4.9  "
"1335",2016,"Acura","ILX","17596","35702","4.3  "
"1336",2013,"Tesla","Model","41500","37865","4.9  "
"1337",2016,"Lexus","GS","39788","32934","4.9  "
"1338",2016,"Audi","A3","27998","36058","4.3  "
"1339",2017,"Cadillac","Escalade","52990","45603","4.8  "
"1340",2017,"Dodge","Challenger","30998","10652","4.9  "
"1341",2014,"Ford","Mustang","23590","18329","4.8  "
"1342",2006,"Pontiac","Solstice","7500","51583",NA
"1343",2013,"BMW","740","24995","47126","4  "
"1344",2016,"Dodge","Grand","15900","23315","4.8  "
"1345",2015,"GMC","Sierra","29500","31454","4.7  "
"1346",2014,"Acura","TL","16824","46602","4.5  "
"1347",2018,"Lexus","LX","77198","11435","4.9  "
"1348",2014,"Maserati","Ghibli","37900","36383","3  "
"1349",2018,"BMW","340","49693","4471","4.9  "
"1350",2012,"BMW","X5","17000","68243","3.1  "
"1351",2007,"Ford","Mustang","15500","69541","4.8  "
"1352",2018,"Volkswagen","Tiguan","24665",NA,"4.8  "
"1353",2015,"Honda","Pilot","25988","58291","4.8  "
"1354",2013,"Nissan","Juke","11599","66932","4.7  "
"1355",2018,"BMW","M550","68897","16675","5  "
"1356",2013,"BMW","135","20990","44811","4.7  "
"1357",2014,"Jeep","Grand","17998","64704","4.7  "
"1358",2013,"Toyota","Tacoma","21998","40359","4.8  "
"1359",2001,"Ford","Ranger","8499","51422",NA
"1360",2016,"Land","Rover","57595","23693","4.9  "
"1361",2011,"Audi","Q5","14888","78852","4.6  "
"1362",2015,"BMW","750","41995","35912","4.9  "
"1363",2013,"Lexus","GS","22998","59387","4.8  "
"1364",2015,"BMW","320","18995","29323","4.6  "
"1365",2011,"Porsche","Cayenne","23995","71212","4.6  "
"1366",2015,"Audi","RS","51998","21095","4.6  "
"1367",2015,"Lexus","NX","24700","57165","3.1  "
"1368",2015,"Volkswagen","Jetta","11995","20349","3.8  "
"1369",2013,"Lexus","GS","23531","58006","4.8  "
"1370",2012,"Honda","Pilot","13987","84650","4.5  "
"1371",2015,"Lincoln","MKZ","17998","56714","4.8  "
"1372",2014,"Mercedes","Benz","16990","35115","4.6  "
"1373",2008,"Lexus","ES","10997","87546","4.8  "
"1374",2011,"Chevrolet","Camaro","12990","50956","4.9  "
"1375",2015,"Chevrolet","Silverado","26491","39771","4.7  "
"1376",2008,"Toyota","Camry","5799","140395","4.4  "
"1377",2006,"Mazda","Mazda3","6999","26095","5  "
"1378",2008,"Dodge","Dakota","7995","79933","5  "
"1379",2014,"MINI","Countryman","12487","88644","4.9  "
"1380",2017,"Chevrolet","Volt","22491","43765","4.8  "
"1381",2019,"GMC","Sierra","60629",NA,"4.7  "
"1382",2011,"Chevrolet","Camaro","12500","55817",NA
"1383",2011,"Chevrolet","Cruze","8975","78785","4.7  "
"1384",2017,"Chevrolet","Camaro","34995","9015","4.9  "
"1385",2014,"Mitsubishi","Outlander","10995","60935","4.7  "
"1386",2015,"Toyota","Tacoma","25000","38039","4.9  "
"1387",2009,"Saturn","Outlook","9799","70000","5  "
"1388",2008,"smart","ForTwo","6900","44000","5  "
"1389",2014,"Mitsubishi","Outlander","11500","62000","5  "
"1390",2014,"Ford","Explorer","14799","88000","5  "
"1391",2010,"Ford","Mustang","11900","69688","4.8  "
"1392",2019,"RAM","1500","52853",NA,"4.9  "
"1393",2015,"Nissan","Pathfinder","16888","43986","4.9  "
"1394",2007,"Chevrolet","Tahoe","12999","100229","4.6  "
"1395",2013,"Jeep","Grand","19900","51578","4.9  "
"1396",2008,"Toyota","Avalon","5950","112556","1  "
"1397",2014,"Subaru","Legacy","14465","40547","4.5  "
"1398",2017,"Nissan","Altima","14973","32667","4.5  "
"1399",2016,"Ford","Explorer","35000","27397","4.9  "
"1400",2015,"BMW","i3","16996","26800","4.8  "
"1401",1996,"Chevrolet","Corvette","12900","32173","5  "
"1402",2016,"Ford","F","31995","39309","4.8  "
"1403",2007,"Chevrolet","Suburban","6495","237495",NA
"1404",2013,"Audi","Q5","19995","80733","4.2  "
"1405",2004,"Honda","Civic","5995","79173","4.2  "
"1406",2012,"GMC","Sierra","22995","100892","4.2  "
"1407",2015,"Jeep","Compass","12587","47116","4.7  "
"1408",2007,"Honda","Accord","5409","139846","4.8  "
"1409",2008,"BMW","M6","24997","60386","5  "
"1410",2013,"Hyundai","Veloster","9867","79567","4  "
"1411",2009,"Cadillac","DTS","6000","89562","4.8  "
"1412",2012,"Nissan","370Z","19250","49300","4.8  "
"1413",2015,"Chevrolet","Tahoe","34900","56500","5  "
"1414",2015,"Maserati","GranTurismo","66900","33038","3.8  "
"1415",2014,"Volkswagen","Jetta","10900","56019","3.8  "
"1416",2016,"Land","Rover","28900","43997","3.8  "
"1417",2016,"Land","Rover","29900","31282","3.8  "
"1418",2015,"Chevrolet","Volt","14250","28827","4.9  "
"1419",2016,"Toyota","4Runner","30991","33181","4.4  "
"1420",2008,"Porsche","Cayenne","13995","112071","4.1  "
"1421",2013,"Audi","S5","24995","61679","4.1  "
"1422",2009,"Nissan","Altima","5791","121901","4.4  "
"1423",2015,"GMC","Acadia","23998","28076","3.9  "
"1424",2019,"RAM","1500","41400",NA,"4.7  "
"1425",2018,"Chevrolet","Suburban","46989","19499","4.9  "
"1426",2007,"Nissan","Maxima","5447","128286","4.9  "
"1427",2016,"Ford","F","37882","49468","4.8  "
"1428",2010,"Nissan","Maxima","9995","72000",NA
"1429",2014,"Ford","Fusion","9998","77948","5  "
"1430",2019,"Volkswagen","Tiguan","30425",NA,"4.8  "
"1431",2008,"Lexus","RX","9988","132518","4.3  "
"1432",2009,"Toyota","Matrix","5497","122637","5  "
"1433",2016,"Audi","TT","32400","32358","4.8  "
"1434",2015,"Jeep","Grand","48685","17920","4.8  "
"1435",2014,"Porsche","Cayenne","51900","36867","4.8  "
"1436",2017,"Ford","Edge","23500","470","4.8  "
"1437",2013,"Chevrolet","Malibu","8975","72621","4.8  "
"1438",2015,"Mercedes","Benz","49998","19743","4.3  "
"1439",2018,"Volkswagen","Golf","38498","3222","4.3  "
"1440",2019,"BMW","M760","165925",NA,"4.7  "
"1441",2006,"Saab","9","9990","71366","5  "
"1442",2012,"Jeep","Grand","15998","94235","4.9  "
"1443",2014,"Ford","Taurus","15290","43990","3  "
"1444",2009,"MINI","Cooper","6900","58068","4.9  "
"1445",2016,"Acura","ILX","16498","37656","3.5  "
"1446",2018,"Jeep","Wrangler","25000","5186","4.7  "
"1447",2017,"Hyundai","Santa","16000","42584","4.8  "
"1448",2017,"Nissan","Titan","31000","26165",NA
"1449",2012,"Volvo","XC90","16999","63115","4.6  "
"1450",2015,"Ford","F","24988","75496","4.8  "
"1451",2018,"Jeep","Compass","18885","24296","5  "
"1452",2018,"BMW","M3","106845",NA,"4.9  "
"1453",2011,"MINI","Cooper","8200","78951",NA
"1454",2015,"Audi","A5","23000","22660","4.9  "
"1455",2004,"Subaru","Forester","8995","49938","4  "
"1456",2018,"Lincoln","Navigator","101775",NA,"4.9  "
"1457",2006,"Buick","LaCrosse","5495","47242",NA
"1458",2003,"Porsche","911","32987","40612","5  "
"1459",2012,"Land","Rover","18990","92474","4.7  "
"1460",2016,"Audi","S7","57799","32976","5  "
"1461",2016,"Ford","Focus","9811","47237","4.9  "
"1462",2017,"Land","Rover","81495","19368","4.9  "
"1463",2013,"Toyota","Highlander","19998","66713","4.8  "
"1464",2010,"Mazda","Mazda3","5995","106746","4.7  "
"1465",2016,"BMW","228","29995","19003","4.9  "
"1466",2012,"BMW","X3","14995","68655","4.6  "
"1467",2009,"Jaguar","XKR","25995","52576","4.6  "
"1468",2010,"Volkswagen","Jetta","7598","68149","4.8  "
"1469",2014,"Mercedes","Benz","29995","56276","4.6  "
"1470",2011,"BMW","X5","16995","61471",NA
"1471",2016,"Volvo","XC90","43895","18945",NA
"1472",2010,"Cadillac","CTS","11499","81003","4.8  "
"1473",2004,"Jeep","Wrangler","8995","167617","5  "
"1474",2015,"Ford","Edge","18900","26777","5  "
"1475",2016,"Jeep","Patriot","9900","12341","5  "
"1476",2013,"Mazda","CX","12995","56003","4.5  "
"1477",1998,"Chevrolet","Camaro","1999","229280","2.3  "
"1478",2005,"Ford","Escape","3999","183485","4.4  "
"1479",2011,"Audi","S4","18498","75451","4.4  "
"1480",2010,"Jeep","Wrangler","16995","57166","5  "
"1481",2014,"Chevrolet","Cruze","8495","79680","5  "
"1482",2010,"Dodge","Ram","25744","87482","4.7  "
"1483",2007,"Audi","A4","5490","149390","4.8  "
"1484",2016,"BMW","M6","69995","28563","4.9  "
"1485",2014,"Jeep","Grand","24642","57275","5  "
"1486",2018,"Subaru","Crosstrek","24790","15119","4.7  "
"1487",2009,"Jeep","Patriot","5999","98243","3.5  "
"1488",2008,"Ford","Explorer","9995","83502","4.7  "
"1489",2017,"Ford","Explorer","24500","14264","5  "
"1490",2013,"Dodge","Challenger","15995","27776","4.9  "
"1491",2012,"Subaru","Forester","10495","68296","5  "
"1492",2016,"Hyundai","Tucson","16000","37813","4.9  "
"1493",2016,"Hyundai","Elantra","10000","35976","4.9  "
"1494",2003,"Acura","TL","4995","109437","3.8  "
"1495",2009,"Hyundai","Sonata","7700","70157","5  "
"1496",2015,"Audi","A8","30700","51158","4.5  "
"1497",2013,"Chevrolet","Silverado","18450","76898","4.2  "
"1498",2014,"Ford","Mustang","37999","23226","5  "
"1499",2019,"Subaru","Ascent","45670",NA,"5  "
"1500",2018,"INFINITI","QX60","34488","1377","4.6  "
"1501",2015,"Ford","F","31995","31953","4.8  "
"1502",2013,"Toyota","FJ","24795","100721","5  "
"1503",2001,"Chevrolet","Tahoe","1750","211421","4.8  "
"1504",2019,"Subaru","Ascent","40668",NA,"3.5  "
"1505",2007,"Honda","Civic","5995","79378","5  "
"1506",2014,"Toyota","Sequoia","33833","67461","1  "
"1507",2007,"Toyota","Tundra","14500","132000","5  "
"1508",2016,"Scion","iM","12982","17181","4.5  "
"1509",2006,"Acura","MDX","9992","114485","4.5  "
"1510",2014,"Volvo","XC90","19995","81169","5  "
"1511",2016,"BMW","340","33995","33090","5  "
"1512",2004,"BMW","M3","13497","119315","5  "
"1513",2014,"BMW","X3","24497","50606","5  "
"1514",2016,"Honda","Pilot","31790","17323","4.8  "
"1515",2012,"Honda","Pilot","9998","143218","4.8  "
"1516",2014,"Jeep","Wrangler","20999","68889","4.9  "
"1517",2010,"Jeep","Wrangler","16990","88375","4.8  "
"1518",2004,"Chrysler","Pacifica","4991","87131","4.8  "
"1519",2008,"Toyota","RAV4","5500","149827","4.7  "
"1520",2006,"Ford","Explorer","6991","121701","4.8  "
"1521",2008,"Volkswagen","R32","8590","164605","4.8  "
"1522",2006,"Honda","Odyssey","5990","123001","4.2  "
"1523",2012,"Ford","F","26991","141896","4.8  "
"1524",2008,"Volkswagen","GTI","7515","80893","4.8  "
"1525",2015,"Mercedes","Benz","42997","72138","4.9  "
"1526",2018,"Mercedes","Benz","88920",NA,"4.9  "
"1527",2007,"Jeep","Wrangler","12791","119080","4.4  "
"1528",2016,"Audi","S4","36998","20788","4.9  "
"1529",2012,"Toyota","RAV4","11995","78136","4.9  "
"1530",2016,"Toyota","RAV4","18500","43308","4.9  "
"1531",1968,"Cadillac","DeVille","8995","36042","4.4  "
"1532",2016,"Lexus","RX","39988","22657","4.9  "
"1533",2014,"Ford","Sedan","10998","76720","5  "
"1534",2014,"Porsche","Cayenne","34498","43952","4.9  "
"1535",2017,"Lexus","IS","34900","31165","4.7  "
"1536",2016,"Mercedes","Benz","32995","18320","4.8  "
"1537",2018,"Jeep","Grand","62650","2549","4.8  "
"1538",2016,"BMW","M4","59998","5009","4.7  "
"1539",2016,"Volkswagen","Tiguan","16944","47895","4.9  "
"1540",2015,"Mazda","Mazda3","14982","26247","4.8  "
"1541",2015,"Hyundai","Sonata","7898","93321","4.7  "
"1542",2014,"Mercedes","Benz","50990","36894","3  "
"1543",2012,"Toyota","Prius","11998","46128","3.5  "
"1544",2015,"Mercedes","Benz","21900","32436","4.9  "
"1545",2010,"Kia","Soul","4995","95166","3.9  "
"1546",2004,"Toyota","RAV4","6995","95984",NA
"1547",2015,"smart","ForTwo","9001","9050","4.6  "
"1548",2016,"Honda","Accord","15988","27091","4.5  "
"1549",2017,"Land","Rover","86800","14365","4.9  "
"1550",2005,"BMW","530","7995","58125","4  "
"1551",2016,"Hyundai","Tucson","15000","49726","4.9  "
"1552",2015,"Lincoln","Navigator","37811","22549","4.4  "
"1553",2018,"Ford","F","39876","13337","4.4  "
"1554",2018,"Lincoln","Navigator","97245",NA,"4.9  "
"1555",2018,"GMC","Yukon","62218",NA,"4.8  "
"1556",2015,"Jeep","Grand","26995","16852","4.9  "
"1557",2010,"Cadillac","DTS","7500","114942","3.1  "
"1558",2015,"Volkswagen","Jetta","9900","36125","4.5  "
"1559",2017,"Mercedes","Benz","51993","14596","4.8  "
"1560",2014,"Ford","Focus","9988","56547","4.8  "
"1561",2016,"Jeep","Wrangler","28990","39145","4.7  "
"1562",2005,"Dodge","Dakota","5995","117358","4  "
"1563",2012,"RAM","1500","13460","50998","4.7  "
"1564",2015,"Toyota","Corolla","14988","33987","4.7  "
"1565",2013,"BMW","328","13995","67280","4.6  "
"1566",2013,"GMC","Sierra","28950","60008","4.6  "
"1567",2013,"Lexus","ES","14996","84034","4.6  "
"1568",2014,"Nissan","Versa","3995","137697","4.7  "
"1569",2015,"Lexus","RX","19998","132370","4.6  "
"1570",2013,"BMW","X3","13995","79585","4.6  "
"1571",2015,"Ford","F","23490","42202","4.9  "
"1572",2014,"Toyota","Tacoma","7979","140779","4.9  "
"1573",2014,"BMW","335","22995","38829","4.6  "
"1574",2012,"Lexus","RX","16998","113112","4.8  "
"1575",2011,"Chevrolet","Silverado","6995","116481","4.7  "
"1576",2004,"Audi","S4","13991","69604","3.4  "
"1577",2014,"Audi","S6","36991","66707","3.4  "
"1578",2017,"Ford","F","47960","18855","4.8  "
"1579",2016,"Mazda","CX","16990","32909","4.9  "
"1580",2015,"Toyota","Corolla","10900","53159","2  "
"1581",2015,"Chrysler","300","19990","22882","4.9  "
"1582",2015,"Toyota","Camry","14850","65857","4.8  "
"1583",2018,"Chevrolet","Corvette","72711",NA,"4.7  "
"1584",2017,"Toyota","Tacoma","43450","16535","4.8  "
"1585",2015,"BMW","X4","29490","35407","4.9  "
"1586",2018,"Chevrolet","Camaro","28168",NA,"4.7  "
"1587",2009,"Cadillac","Escalade","13599","130409","4.4  "
"1588",2000,"Chevrolet","Corvette","13995","50100","5  "
"1589",2003,"Chevrolet","Silverado","8995","75278","5  "
"1590",2015,"Toyota","Tundra","18800","87849","4.7  "
"1591",2010,"Ford","F","19985","67791","5  "
"1592",2003,"Honda","Civic","4995","88239",NA
"1593",2015,"Honda","Civic","13595","24127","4.9  "
"1594",2017,"Honda","Accord","17588","10529","4.8  "
"1595",2019,"Acura","RDX","46895",NA,"4.9  "
"1596",2009,"Audi","A4","7995","118696",NA
"1597",2015,"Toyota","Sienna","24700","14066","4.8  "
"1598",2012,"Chevrolet","Tahoe","26495","71000",NA
"1599",2007,"Honda","Odyssey","4950","108290","1  "
"1600",2002,"Toyota","Tacoma","8998","141942","5  "
"1601",2016,"GMC","Sierra","48995","46424","4.9  "
"1602",2002,"Jeep","Wrangler","10433","69884","4.6  "
"1603",2017,"Chrysler","Pacifica","18846","51154","4.6  "
"1604",2016,"Volvo","XC90","46999","23899","5  "
"1605",2004,"Jeep","Wrangler","16995","82875","5  "
"1606",2019,"Subaru","Ascent","35438",NA,"3.5  "
"1607",2012,"Lexus","GX","22430","97918","4.7  "
"1608",2009,"Ford","Edge","4950","164000","5  "
"1609",2002,"Ford","Focus","1850","174803","5  "
"1610",2015,"Ford","F","36999","40769","4.3  "
"1611",2012,"Acura","TL","8992","110511","4.5  "
"1612",2016,"BMW","X6","53995","11680","5  "
"1613",2014,"Jeep","Wrangler","21990","73487","4.6  "
"1614",2015,"MINI","Hardtop","13490","47620","5  "
"1615",2017,"Audi","A4","32516","22294","4.8  "
"1616",2019,"Chevrolet","Corvette","49995","7193","4  "
"1617",2017,"Porsche","911","85991","9940","4.8  "
"1618",2018,"Alfa","Romeo","88890",NA,"4.6  "
"1619",2010,"Audi","A3","9884","91952","4.3  "
"1620",2014,"Audi","A4","22950","19123","4.7  "
"1621",2014,"Nissan","Titan","19900","50470","4.9  "
"1622",2017,"Mercedes","Benz","110998","6678","4.9  "
"1623",2015,"Mercedes","Benz","42498","26242","4.9  "
"1624",2016,"Ford","F","29925","22847","4.8  "
"1625",2012,"Ford","Focus","5799","104897","5  "
"1626",2016,"Porsche","Macan","57998","39647","4.8  "
"1627",2017,"Honda","Accord","26499","14760","4.7  "
"1628",2013,"Ford","F","25555","71212","3.9  "
"1629",2012,"Lexus","GX","22518","90044","4.4  "
"1630",2016,"Chrysler","Town","14499","64256",NA
"1631",2016,"Kia","Forte","9995","28412",NA
"1632",2014,"Mercedes","Benz","47795","35439","5  "
"1633",2016,"Porsche","911","77998","14158","4.9  "
"1634",2015,"Ford","Explorer","24600","28804","4.7  "
"1635",2013,"Porsche","911","64998","17105","4.9  "
"1636",2012,"Ford","Fiesta","5999","64743","5  "
"1637",2015,"BMW","i3","16958","25444","4.7  "
"1638",2015,"Maserati","GranTurismo","66250","5461","5  "
"1639",2016,"Volvo","XC60","29431","17818","4.8  "
"1640",2012,"Mercedes","Benz","14257","42377","4.3  "
"1641",2014,"Ford","F","21457","68736","4.3  "
"1642",2015,"Chevrolet","Silverado","29495","19374","3.9  "
"1643",2014,"Mercedes","Benz","14800","86800","4.8  "
"1644",2016,"GMC","Acadia","23485","43759","4.7  "
"1645",2015,"BMW","X1","20500","43799","4.8  "
"1646",2014,"Volkswagen","Passat","13672","29936",NA
"1647",2016,"Toyota","Camry","18388","29552","4.7  "
"1648",2009,"Jeep","Grand","16997","36633","4.6  "
"1649",2017,"BMW","X3","28800","31590","3  "
"1650",2015,"Jeep","Cherokee","15960","22529","4.7  "
"1651",2017,"INFINITI","Q60","42990","7044","4.7  "
"1652",2018,"Mercedes","Benz","27000","15495","4.9  "
"1653",2012,"Honda","Civic","8900","73480","4.7  "
"1654",2008,"Toyota","RAV4","7500","127198","4.7  "
"1655",2010,"Volkswagen","Touareg","12787","94869","4.8  "
"1656",2009,"Jeep","Liberty","7450","111128","4.5  "
"1657",2015,"GMC","Acadia","26899","31355","4.7  "
"1658",2013,"BMW","650","34800","26666","4.8  "
"1659",2017,"Lincoln","Continental","36480","25165","4.6  "
"1660",2017,"Subaru","Forester","27998","16306","4.8  "
"1661",2007,"Ford","Ranger","12698","61335","4.8  "
"1662",2013,"Subaru","Impreza","20998","23945","4.8  "
"1663",2014,"Mazda","Mazda6","13250","35806","4.6  "
"1664",2016,"INFINITI","Q50","29695","24754","4.9  "
"1665",2012,"Mercedes","Benz","23995","38907","4.6  "
"1666",2012,"Jaguar","XF","17895","66146","4.6  "
"1667",2017,"Lexus","RX","46998","3909","4.8  "
"1668",2011,"GMC","Sierra","18888","77145","4.5  "
"1669",2002,"BMW","M3","16491","89201","3.4  "
"1670",2004,"Jeep","Wrangler","6995","179000","5  "
"1671",2007,"Volvo","XC90","8988","99274","4.8  "
"1672",2004,"Ford","Explorer","2995","149689","5  "
"1673",2017,"Mazda","Mazda6","19980","6104","4.9  "
"1674",2018,"Jeep","Grand","34910",NA,"4.7  "
"1675",2016,"Volvo","XC90","34400","39225","4.9  "
"1676",2016,"Acura","RDX","22890","40056","4.9  "
"1677",2010,"Subaru","Outback","7997","121244","4.8  "
"1678",2009,"GMC","Sierra","13299","93212","4.4  "
"1679",2012,"Mitsubishi","Outlander","8995","69899","5  "
"1680",2015,"Toyota","Tundra","37498","11960","4.5  "
"1681",2014,"Ford","C","9995","54275","5  "
"1682",2017,"Honda","Accord","19391","16181","4.8  "
"1683",2013,"Ford","Focus","6688","108018","4.8  "
"1684",2001,"Ford","Excursion","12299","77501","5  "
"1685",2014,"Mercedes","Benz","20900","75686","5  "
"1686",2013,"Ford","F","37000","69463","4.9  "
"1687",2015,"Nissan","Frontier","14998","28396",NA
"1688",2018,"Ford","F","66500","1853","4.7  "
"1689",2016,"Honda","Accord","18500","35765","4.9  "
"1690",2016,"smart","ForTwo","10500","36063","4.9  "
"1691",2015,"Honda","Accord","13488","35493","4.8  "
"1692",2016,"Honda","Accord","23588","29728","4.8  "
"1693",2019,"Acura","RDX","40295",NA,"4.9  "
"1694",2011,"Toyota","RAV4","10900","126498","4.2  "
"1695",2007,"Nissan","Titan","13499","97572","5  "
"1696",2015,"Lexus","GS","30877","18113","4.1  "
"1697",2001,"Chevrolet","Silverado","10877","105077","4.1  "
"1698",2015,"Chevrolet","Silverado","23477","63989","4.1  "
"1699",2010,"Ford","Mustang","14998","53791","5  "
"1700",2012,"Chevrolet","Silverado","19700","67802","3.8  "
"1701",2007,"Toyota","Corolla","3593","263037","4.6  "
"1702",2008,"Toyota","RAV4","8261","129523","4.6  "
"1703",2009,"Mercedes","Benz","8894","117654","4.6  "
"1704",2009,"Hyundai","Tucson","7995","83245","5  "
"1705",2002,"Audi","A4","1850","226709","4.8  "
"1706",2008,"Chevrolet","Impala","2950","74739","4.8  "
"1707",2010,"Ford","F","15995","82616","4.3  "
"1708",2015,"Jeep","Cherokee","21223","36380","4.9  "
"1709",2012,"Toyota","Prius","8250","155000","5  "
