"","Ratings","Year","Make","Model","Price","Mileage"
"965","4.8  ",2018,"Ford","Fusion","25959",NA
"966","4.8  ",2017,"Ford","Escape","17995","7249"
"967","4.8  ",2005,"BMW","Z4","10995","26123"
"968","4.7  ",2009,"Toyota","Matrix","9993","32651"
"969","4.7  ",2015,"Toyota","Prius","14510","44445"
"970","4.8  ",2006,"Lexus","SC","21998","61311"
"971","4.9  ",2015,"Jeep","Grand","34795","22909"
"972","4.9  ",2019,"Subaru","Ascent","43953",NA
"973","4.8  ",2018,"Chevrolet","Equinox","18245",NA
"974","4.8  ",2019,"Chevrolet","Impala","35450",NA
"975","4.7  ",2018,"Hyundai","Sonata","20462",NA
"976","4.9  ",2017,"Volvo","S60","26980","26460"
"977","4.7  ",2018,"Hyundai","Santa","37689",NA
"978","4.9  ",2016,"Mazda","Mazda6","15750","34332"
"979","4.8  ",2018,"Honda","Clarity","37495",NA
"980","2  ",2008,"Mazda","Mazda6","4300","108197"
"981","4.8  ",2010,"Ford","Escape","4997","178838"
"982","4.8  ",2018,"Hyundai","Tucson","24770",NA
"983","4.9  ",2018,"Ford","Explorer","43404",NA
"984","4.9  ",2018,"Ford","Explorer","36501",NA
"985","4.8  ",2017,"Chevrolet","Silverado","33144","11948"
"986","4.4  ",2018,"Nissan","Rogue","24580",NA
"987","4.4  ",2018,"Nissan","Armada","51182",NA
"988","4.4  ",2018,"Nissan","Rogue","25880",NA
"989","4.9  ",2018,"Volvo","S90","35995","14372"
"990","4.9  ",2013,"Dodge","Challenger","15495","27776"
"991","4.9  ",2015,"Chevrolet","Tahoe","34580","47613"
"992","4.6  ",2018,"Kia","Optima","24821",NA
"993","4.8  ",2016,"Toyota","Avalon","25495","23100"
"994","4.7  ",2018,"Mitsubishi","Outlander","21526",NA
"995","4.8  ",2018,"Mazda","CX","28787",NA
"996","5  ",2018,"Kia","Niro","25555",NA
"997","5  ",2018,"Kia","Cadenza","37134",NA
"998","4.8  ",2018,"Chevrolet","Silverado","45997",NA
"999","4.9  ",2018,"Nissan","Rogue","27715",NA
"1000","4.9  ",2019,"Nissan","Rogue","36535",NA
"1001","4.9  ",2015,"Dodge","Durango","31995","44628"
"1002","4.6  ",2018,"BMW","430","54090",NA
"1003","4.9  ",2019,"Jeep","Cherokee","32465",NA
"1004","4.6  ",2012,"Chevrolet","Silverado","25991","44538"
"1005","3.8  ",2014,"Ford","F","18000","59837"
"1006","4.9  ",2017,"Ford","Explorer","29301","35121"
"1007","4.7  ",2018,"Kia","Sorento","24760",NA
"1008","4.7  ",2019,"Kia","Sorento","29104",NA
"1009","4.9  ",2011,"Acura","MDX","21500","31000"
"1010","4.8  ",2001,"Ford","F","9999","92134"
"1011","4.8  ",2012,"Toyota","Tacoma","14999","88365"
"1012","3  ",2018,"Buick","LaCrosse","39380",NA
"1013","4.8  ",2011,"Honda","Pilot","14741","95927"
"1014","5  ",2018,"Jeep","Wrangler","41820",NA
"1015","3  ",2018,"Buick","Enclave","60140",NA
"1016","4.9  ",2013,"Nissan","Murano","15673","78345"
"1017","4.8  ",2015,"Toyota","RAV4","16430","86467"
"1018","4.8  ",2016,"Subaru","WRX","20500","65452"
"1019","4.8  ",2015,"Porsche","911","71991","11941"
"1020","4.8  ",2013,"Porsche","Cayenne","35991","32213"
"1021","4.8  ",2017,"Audi","A4","32516","22294"
"1022","4.9  ",2016,"Tesla","Model","73500","25547"
"1023","4.8  ",2011,"Nissan","Altima","9995","55324"
"1024","4.7  ",2017,"INFINITI","QX60","30113","29003"
"1025","4.7  ",2010,"Subaru","Forester","7998","139835"
"1026","4.4  ",2019,"Kia","Sorento","26311",NA
"1027",NA,2018,"Mitsubishi","Eclipse","27297",NA
"1028","4.4  ",2019,"Chevrolet","Traverse","46235",NA
"1029","4.4  ",2017,"Honda","Civic","17987","31456"
"1030","4.9  ",2013,"Honda","Accord","14485","82154"
"1031","4.7  ",2017,"Jeep","Grand","29680","32945"
"1032","4.8  ",2019,"Ford","Mustang","48924",NA
"1033","4.8  ",2016,"Ford","Taurus","19990","12925"
"1034","4.7  ",2016,"Honda","Accord","24599","17310"
"1035","3.8  ",2018,"Chevrolet","Colorado","42900",NA
"1036","4.9  ",2015,"Honda","Civic","17498","49942"
"1037","4.7  ",2018,"Honda","Accord","34675",NA
"1038","4.8  ",2015,"Honda","CR","21498","20292"
"1039","4.8  ",2018,"Honda","Accord","23580",NA
"1040","4.7  ",2017,"Jeep","Grand","47710","13200"
"1041","4.8  ",2018,"Lexus","LC","78498","6201"
"1042","4.8  ",2015,"Honda","Civic","14136","24612"
"1043","4.8  ",2019,"Honda","Pilot","40655",NA
"1044","4.9  ",2014,"Ford","Flex","19999","63735"
"1045","4.9  ",2018,"Ford","Transit","30399","20145"
"1046","4.9  ",2019,"Chevrolet","Impala","34530",NA
"1047","4.8  ",2015,"Honda","CR","20887","25365"
"1048","4.9  ",2015,"Lexus","ES","26599","34553"
"1049","4.9  ",2016,"Lexus","NX","35229","14718"
"1050","4.3  ",2011,"Audi","A4","10598","79515"
"1051","4.8  ",2016,"BMW","X5","49995","11474"
"1052","5  ",2017,"Toyota","Corolla","17000","14757"
"1053","5  ",2013,"Subaru","Outback","12900","79446"
"1054","4.7  ",2017,"Toyota","Highlander","29991","18124"
"1055","4.8  ",2015,"Lexus","RX","24811","5"
"1056","4.8  ",2017,"Audi","A4","40500","6956"
"1057","4.8  ",2010,"Subaru","Forester","7500","117450"
"1058","4.8  ",2019,"Subaru","Legacy","26135",NA
"1059","4.8  ",2019,"Acura","RDX","46495",NA
"1060","3.3  ",2005,"Ford","Focus","2995","88432"
"1061","4.9  ",2015,"Toyota","Land","55490","40139"
"1062","4.7  ",2018,"RAM","ProMaster","35619",NA
"1063","4.1  ",2013,"Nissan","Sentra","7999","65375"
"1064","5  ",2019,"Cadillac","XT5","54545",NA
"1065","4.8  ",2015,"RAM","1500","24988","38837"
"1066","4.5  ",2014,"Acura","TL","16824","46602"
"1067","4.7  ",2019,"INFINITI","QX50","50230",NA
"1068","4.9  ",2015,"Mitsubishi","Outlander","12777","71017"
"1069","4.8  ",2018,"Ford","Explorer","53205",NA
"1070","4.7  ",2017,"Jeep","Cherokee","19990","45492"
"1071","4.7  ",2016,"Toyota","Highlander","28592","49562"
"1072","4.7  ",2016,"Toyota","Camry","14990","55216"
"1073","4.8  ",2015,"Jeep","Grand","21988","57910"
"1074","3.3  ",2010,"Porsche","Panamera","28500","86286"
"1075","5  ",2019,"Toyota","Tundra","44339",NA
"1076","4.8  ",2017,"Toyota","Tacoma","43450","16535"
"1077","4.7  ",2018,"Toyota","Highlander","27995","19764"
"1078","4.8  ",2016,"Toyota","RAV4","24961","22670"
"1079","4.8  ",2016,"Honda","Pilot","30750","37747"
"1080","4.5  ",2013,"Ford","F","20498","79192"
"1081","4.8  ",2010,"Lexus","LS","21971","42091"
"1082","4.9  ",2018,"Toyota","Highlander","35839",NA
"1083","3.9  ",2017,"Toyota","Tacoma","31888","20031"
"1084","4.4  ",2018,"Nissan","Rogue","26275",NA
"1085","4.4  ",2018,"Nissan","Rogue","23275",NA
"1086","4.7  ",2017,"Hyundai","Santa","29700","19170"
"1087","4.9  ",2016,"Kia","Sorento","23024","24583"
"1088","4  ",2014,"GMC","Sierra","31900","67354"
"1089","4.9  ",2018,"Mazda","Mazda6","27500","8271"
"1090","4.6  ",2018,"Kia","Stinger","39224",NA
"1091","4.7  ",2018,"Mitsubishi","Outlander","19969",NA
"1092","4.9  ",2018,"RAM","2500","43850","17429"
"1093","4.9  ",2018,"RAM","ProMaster","37271",NA
"1094","3.7  ",2017,"Hyundai","Elantra","13999","20008"
"1095","4.8  ",2010,"Mercury","Grand","6750","89896"
"1096","4.6  ",2017,"Chevrolet","Silverado","56988","27290"
"1097","4.5  ",2014,"Jeep","Grand","17475","102475"
"1098","4.8  ",2014,"Kia","Soul","7997","61427"
"1099","4.9  ",2016,"GMC","Sierra","26750","39299"
"1100","4.9  ",2018,"Nissan","Rogue","26660",NA
"1101","4.9  ",2015,"Mazda","Mazda3","16500","30044"
"1102","4.9  ",2018,"Mazda","CX","27250",NA
"1103","4.9  ",2018,"Mazda","CX","26445",NA
"1104","4.6  ",2018,"BMW","X3","63095",NA
"1105","4.6  ",2018,"BMW","320","43585",NA
"1106","4.9  ",2018,"Jeep","Wrangler","42620",NA
"1107","5  ",2016,"Mazda","Mazda6","13995","26564"
"1108","4.8  ",2005,"Ford","F","7750","77001"
"1109","4  ",2011,"Saab","9","16950","68280"
"1110","4.9  ",2017,"Honda","Accord","21641","18416"
"1111","4.7  ",2019,"Kia","Optima","22677",NA
"1112","4.9  ",2018,"Nissan","Kicks","21229",NA
"1113","4.8  ",2019,"Mazda","CX","22490",NA
"1114","4.9  ",2018,"Nissan","Titan","42613",NA
"1115","4.7  ",2019,"Kia","Sportage","22107",NA
"1116","4.8  ",2018,"Mazda","CX","32149",NA
"1117","4.7  ",2019,"Kia","Sorento","34177",NA
"1118","4.8  ",2017,"Ford","Explorer","24985","21610"
"1119","4.8  ",2019,"Chevrolet","Traverse","36045",NA
"1120","4.8  ",2012,"Chevrolet","Cruze","7395","111152"
"1121","4.8  ",2015,"Chevrolet","Silverado","29997","26857"
"1122","5  ",2016,"Jeep","Compass","17954","36181"
"1123","5  ",2015,"Jeep","Renegade","20230","6457"
"1124","4.8  ",2018,"Toyota","Highlander","37999","2504"
"1125","4.8  ",2007,"Saturn","Ion","1998","120577"
"1126","4.8  ",2016,"Toyota","Camry","14300","47791"
"1127","5  ",2018,"Chevrolet","Tahoe","63423",NA
"1128","4.8  ",2016,"Volkswagen","Jetta","17995","17749"
"1129","4.8  ",2016,"Volkswagen","Jetta","21992","13915"
"1130","4.5  ",2019,"MINI","Countryman","36150",NA
"1131","4.6  ",2011,"BMW","335","21848","53768"
"1132","4.5  ",2017,"Ford","Fusion","17999","17054"
"1133","4.8  ",2009,"Aston","Martin","49590","26545"
"1134","3.8  ",2018,"Land","Rover","114119",NA
"1135",NA,2018,"Mitsubishi","Outlander","20197",NA
"1136","4.7  ",2012,"Jeep","Wrangler","17300","74226"
"1137","4.8  ",2017,"Nissan","Maxima","26624","17459"
"1138","4.9  ",2019,"Volvo","XC60","47590",NA
"1139","4.9  ",2019,"Volvo","XC60","54105",NA
"1140","3.8  ",2015,"Chevrolet","Silverado","25777","24842"
"1141","4.7  ",2013,"Honda","Accord","14499","73470"
"1142","3.8  ",2019,"Chevrolet","Traverse","53042",NA
"1143","4.7  ",2018,"Honda","Accord","31200",NA
"1144","4.8  ",2018,"Honda","Clarity","36186",NA
"1145","3.8  ",2016,"Honda","Accord","22475","20126"
"1146","4.4  ",2019,"Volkswagen","Jetta","21724",NA
"1147","4.7  ",2018,"Jeep","Wrangler","34910","1897"
"1148","4.6  ",2018,"Honda","CR","31945",NA
"1149","4.9  ",2019,"Nissan","Rogue","36170",NA
"1150","4.8  ",2015,"Honda","CR","21998","25147"
"1151","4.9  ",2019,"Nissan","Sentra","20785",NA
"1152","4.9  ",2017,"Ford","Escape","19630","37577"
"1153","4.8  ",2018,"Honda","Accord","24145",NA
"1154","4.8  ",2015,"BMW","X5","37995","21142"
"1155","4.9  ",2018,"Lexus","GX","59354",NA
"1156","4.9  ",2016,"Jeep","Cherokee","24995","33849"
"1157","5  ",2018,"Jeep","Grand","44530",NA
"1158","4.8  ",2019,"Subaru","Forester","26693",NA
"1159","4.7  ",2011,"Honda","CR","13646","88553"
"1160","4.9  ",2018,"Toyota","C","19900","12166"
"1161","4.8  ",2005,"Toyota","Camry","4550","119675"
"1162","4.2  ",2018,"Nissan","Rogue","32795",NA
"1163","4.2  ",2016,"Kia","Sorento","17677","41731"
"1164","4.5  ",2018,"Honda","Accord","35605",NA
"1165","4.7  ",2017,"Chevrolet","Colorado","19794","8119"
"1166","4.9  ",2013,"BMW","650","33367","36161"
"1167","4.7  ",2019,"INFINITI","QX50","49220",NA
"1168","4.9  ",2014,"Mercedes","Benz","33912","21670"
"1169","3.1  ",2004,"Toyota","Sienna","4000","170968"
"1170","4.8  ",2016,"Ford","F","35390","42875"
"1171","4.7  ",2006,"Toyota","4Runner","18990","69572"
"1172","4.7  ",2016,"Toyota","Corolla","13488","34315"
"1173","4.9  ",2016,"INFINITI","Q50","29695","24754"
"1174","4.9  ",2016,"Audi","A6","33995","22043"
"1175","4.5  ",2014,"RAM","1500","20977","60699"
"1176","4.5  ",2012,"Ford","F","23988","65392"
"1177","4.9  ",2019,"Volvo","XC40","40425",NA
"1178","5  ",2012,"Nissan","Altima","5493","145820"
"1179","4.7  ",2018,"Honda","Civic","38999","5996"
"1180","4.7  ",2016,"Jeep","Wrangler","28750","36133"
"1181","4.8  ",2013,"Chevrolet","Cruze","7583","89615"
"1182","2  ",2015,"Toyota","Corolla","10900","53159"
"1183","4.8  ",2012,"RAM","1500","13700","127996"
"1184","2  ",2006,"Nissan","Sentra","3900","64457"
"1185","4.8  ",2018,"Chevrolet","Silverado","46932",NA
"1186","3.9  ",2009,"Jeep","Wrangler","17988","125783"
"1187","4.4  ",2018,"Nissan","Kicks","20573",NA
"1188","4.4  ",2018,"Nissan","Rogue","28485",NA
"1189","4.4  ",2017,"Toyota","Tacoma","32979","21394"
"1190","4.9  ",2018,"Chevrolet","Cruze","14665","12045"
"1191",NA,2017,"Chevrolet","Colorado","19998","9396"
"1192","4  ",2016,"Subaru","Legacy","20867","36826"
"1193","4.9  ",2017,"Hyundai","Accent","10500","18894"
"1194","4.6  ",2019,"Kia","Optima","21344",NA
"1195","4.7  ",2013,"Buick","Regal","12557","66441"
"1196","5  ",1991,"Mazda","MX","2995","88185"
"1197","4.9  ",2019,"Chrysler","Pacifica","35746",NA
"1198","3.7  ",2018,"Genesis","G80","37999",NA
"1199","4.9  ",2015,"Ford","F","27995","58272"
"1200","4.9  ",2016,"Nissan","Rogue","17500","30568"
"1201","4.9  ",2018,"Mazda","CX","28510",NA
"1202","4.6  ",2018,"BMW","X2","47620",NA
"1203","4  ",2006,"Mitsubishi","Lancer","17950","147002"
"1204","4.9  ",2016,"Toyota","Camry","20113","14288"
"1205","4.7  ",2019,"Kia","Forte","17010",NA
"1206","4.8  ",2017,"Toyota","RAV4","23700","13361"
"1207","4.8  ",2019,"Chevrolet","Silverado","55895",NA
"1208","5  ",2019,"RAM","1500","40637",NA
"1209","4.8  ",2005,"Cadillac","CTS","1998","138625"
"1210","5  ",2013,"Ford","Explorer","18995","54267"
"1211","5  ",2018,"GMC","Yukon","66885",NA
"1212","5  ",2018,"GMC","Acadia","39500","1104"
"1213","5  ",2018,"GMC","Sierra","63000",NA
"1214","5  ",2019,"GMC","Acadia","39396",NA
"1215","4.8  ",2017,"Volkswagen","Golf","21995","10573"
"1216","4.8  ",2005,"Acura","TSX","5990","149091"
"1217",NA,2018,"Mitsubishi","Outlander","25497",NA
"1218",NA,2017,"Mitsubishi","Lancer","19797",NA
"1219",NA,2018,"Mitsubishi","Outlander","21897",NA
"1220",NA,2018,"Mitsubishi","Outlander","20197",NA
"1221","4.7  ",2018,"Jeep","Wrangler","42001",NA
"1222","4.4  ",2000,"Toyota","4Runner","6991","139497"
"1223","4.4  ",2015,"Toyota","Highlander","23600","57036"
"1224","4.8  ",2018,"Nissan","Altima","20590",NA
"1225","4.9  ",2018,"Volvo","V90","44245",NA
"1226","4.4  ",2015,"Volkswagen","Passat","16273","23794"
"1227","4.4  ",2016,"Volkswagen","e","17574","15522"
"1228","4.9  ",2017,"RAM","1500","32990","11045"
"1229","4.8  ",2016,"Honda","Civic","21393","24217"
"1230","4.8  ",2018,"Honda","Accord","24465",NA
"1231","4.7  ",2012,"Porsche","911","74998","20060"
"1232","4.8  ",1996,"Chevrolet","Corvette","12432","29595"
"1233","4.8  ",2016,"Audi","A7","41995","23168"
"1234","4.8  ",2015,"Jeep","Grand","48685","18375"
"1235","4.8  ",2015,"BMW","335","24990","30976"
"1236","4.8  ",2018,"Toyota","Highlander","37950","1040"
"1237","4.8  ",2010,"Toyota","Tacoma","13950","59576"
"1238","4.7  ",2016,"Ford","F","27600","20447"
"1239","4.7  ",2016,"Toyota","RAV4","19991","10417"
"1240","4.9  ",2018,"Jeep","Renegade","23184",NA
"1241","4.9  ",2018,"Volkswagen","Atlas","40405",NA
"1242","5  ",2018,"FIAT","500X","26880",NA
"1243","4.8  ",2019,"Subaru","Ascent","43466",NA
"1244","4.8  ",2019,"Subaru","Ascent","45911",NA
"1245","4.7  ",2010,"Honda","Accord","14778","59801"
"1246","4.8  ",2019,"Acura","RDX","43495",NA
"1247","3.5  ",2018,"Hyundai","Santa","19888","23148"
"1248","4.6  ",2014,"Mercedes","Benz","34000","46365"
"1249","4.6  ",2015,"Chevrolet","Equinox","18999","38899"
"1250","4.1  ",2018,"Honda","Accord","26675",NA
"1251","4.7  ",2013,"Land","Rover","26977","30427"
"1252","4.4  ",2016,"Land","Rover","21495","79840"
"1253","4.8  ",2007,"Acura","TL","7995","80117"
"1254","4.8  ",2010,"Volkswagen","Touareg","12798","94869"
"1255","4.6  ",2019,"Volvo","XC60","55280",NA
"1256","4.9  ",2018,"Lincoln","Navigator","92498","6222"
"1257","4.8  ",2018,"Audi","Q7","50497","16741"
"1258","4.7  ",2018,"Toyota","Highlander","29999","9212"
"1259",NA,2014,"Ford","Shelby","47325","1772"
"1260","4.7  ",2017,"Toyota","Camry","15988","39958"
"1261","4.9  ",2013,"Maserati","GranTurismo","44995","42466"
"1262","4.9  ",2015,"BMW","X3","30895","34728"
"1263","4.9  ",2017,"BMW","X1","33990","11102"
"1264","4.9  ",2019,"Subaru","Forester","26160",NA
"1265","4.6  ",2014,"Mercedes","Benz","16990","35115"
"1266","4.8  ",2015,"Chrysler","200","14980","23906"
"1267","4.6  ",2019,"Ford","F","44278",NA
"1268","4.6  ",2018,"Ford","F","69466",NA
"1269","4.7  ",2019,"Hyundai","Santa","27936",NA
"1270","4.6  ",2011,"Hyundai","Sonata","8991","75815"
"1271","4.7  ",2018,"Hyundai","Elantra","17222",NA
"1272","4.8  ",2012,"Subaru","Forester","11150","95265"
"1273","4.8  ",2018,"Honda","Accord","31865",NA
"1274","4.8  ",2018,"Hyundai","Tucson","24850",NA
"1275","4.8  ",2017,"Honda","Accord","23450","12282"
"1276","4.8  ",2018,"Honda","Clarity","37495",NA
"1277","4.9  ",2017,"Ford","Fusion","19142",NA
"1278","4.9  ",2018,"Toyota","RAV4","29002",NA
"1279","4.8  ",2014,"Volkswagen","Golf","13980","27709"
"1280","4.7  ",2019,"GMC","Sierra","58399",NA
"1281","4.9  ",2018,"Volvo","S90","35995","16028"
"1282","4.7  ",2018,"Hyundai","Tucson","26005",NA
"1283","5  ",2018,"Subaru","Crosstrek","18995","12000"
"1284","4.9  ",2017,"Honda","Accord","18850","13639"
"1285","4.9  ",2013,"Porsche","Cayenne","33491","46485"
"1286","5  ",2015,"GMC","Sierra","24482","58471"
"1287","4.6  ",2019,"Kia","Sorento","27061",NA
"1288","4.8  ",2013,"Toyota","Prius","12695","67613"
"1289","4.7  ",2018,"Mitsubishi","Outlander","21976",NA
"1290","4.8  ",2018,"Ford","F","68275",NA
"1291","4.9  ",2017,"Volvo","S60","43070",NA
"1292","4.9  ",2018,"Jeep","Wrangler","41590",NA
"1293","3.7  ",2018,"Hyundai","Santa","27899",NA
"1294","4.6  ",2018,"Chevrolet","Corvette","54988","9624"
"1295","3.7  ",2018,"Hyundai","Tucson","22249",NA
"1296","3.7  ",2018,"Genesis","G80","50999",NA
"1297","4.9  ",2019,"Acura","RDX","43495",NA
"1298","4.9  ",2019,"Acura","MDX","56195",NA
"1299","4.9  ",2018,"Nissan","Pathfinder","47660",NA
"1300","4.9  ",2018,"Nissan","Rogue","26660",NA
"1301","4.9  ",2017,"Mazda","MX","25975",NA
"1302","2  ",2012,"RAM","1500","22988","32654"
"1303","4.8  ",2014,"Ford","Fusion","11977","70773"
"1304","4  ",2014,"Land","Rover","44950","71614"
"1305","5  ",2006,"Lexus","LX","16795","139448"
"1306","4.2  ",2009,"Toyota","Tacoma","14495","148338"
"1307","4.5  ",2015,"Toyota","RAV4","18982","45223"
"1308","4.7  ",2019,"Kia","Sorento","31108",NA
"1309","4.5  ",2006,"Chevrolet","TrailBlazer","3992","147890"
"1310","4.8  ",2016,"Mazda","CX","19795","27658"
"1311","4.8  ",2018,"Mazda","CX","31529",NA
"1312","5  ",2012,"Audi","A4","19997","25392"
"1313","3  ",2018,"Buick","Enclave","59540",NA
"1314","4.8  ",2018,"Honda","Civic","25895",NA
"1315","5  ",2007,"Honda","Accord","6990","130152"
"1316","4.9  ",2011,"Ford","Fusion","6373","109958"
"1317","4.9  ",2011,"Hyundai","Elantra","7495","81705"
"1318","4.8  ",2005,"Buick","Century","1298","91413"
"1319","4.8  ",2008,"Toyota","Yaris","4881","106490"
"1320","4.8  ",2007,"Toyota","RAV4","3598","232163"
"1321","4.8  ",2010,"Subaru","Outback","11165","59091"
"1322","4.5  ",2016,"FIAT","500X","16316","34099"
"1323","4.4  ",2014,"Kia","Forte","11999","53213"
"1324","4.4  ",2018,"Kia","Niro","26959",NA
"1325",NA,2018,"Mitsubishi","Outlander","25197",NA
"1326","4.4  ",2011,"Jeep","Wrangler","20000","59060"
"1327","4.8  ",2015,"Nissan","Altima","15251","22638"
"1328","4.8  ",2015,"Nissan","Murano","24998","37119"
"1329","4.8  ",2019,"Honda","Pilot","39368",NA
"1330",NA,2008,"Ford","F","19988","63436"
"1331","4.7  ",2017,"Toyota","Highlander","34710","8529"
"1332",NA,2007,"Ford","F","16900","67050"
"1333","4.9  ",2016,"Toyota","Highlander","32300","35247"
"1334","4.9  ",2018,"Ford","Fusion","23415","17498"
"1335","4.9  ",2019,"Nissan","Rogue","34350",NA
"1336","4.9  ",2004,"Chevrolet","Tahoe","7495","119946"
"1337","4.9  ",2016,"Lincoln","MKZ","24737","40697"
"1338","5  ",2013,"Subaru","Impreza","19988","57498"
"1339","4.8  ",2019,"Ford","F","57990",NA
"1340","4.8  ",2017,"Land","Rover","33800","9975"
"1341","5  ",2014,"Mercedes","Benz","18998","32002"
"1342","4.9  ",2015,"Chevrolet","Tahoe","43788","51052"
"1343","5  ",2010,"Ford","F","12990","56862"
"1344","4.9  ",2017,"Volkswagen","Golf","16744","21870"
"1345","4.8  ",2009,"Volkswagen","Jetta","5488","105417"
"1346","4.3  ",2010,"Porsche","Cayenne","14457","80851"
"1347","4.8  ",2015,"INFINITI","QX60","27650","36340"
"1348","4.8  ",2013,"Audi","Q5","19000","55573"
"1349","4.8  ",2014,"Ford","Explorer","17900","55286"
"1350","5  ",2007,"Toyota","Corolla","4999","84611"
"1351","4.1  ",2018,"Honda","Accord","34690",NA
"1352","4.7  ",2015,"Jeep","Grand","27977","32904"
"1353","4.7  ",2018,"Jeep","Wrangler","43561",NA
"1354","4.1  ",2018,"Honda","Accord","28360",NA
"1355","4  ",2014,"BMW","640","31689","42827"
"1356","5  ",1999,"Chevrolet","Cavalier","4000","99610"
"1357","4.8  ",2018,"Dodge","Durango","46175",NA
"1358","4.2  ",2018,"Nissan","Murano","41335",NA
"1359","4.7  ",2018,"Volkswagen","Golf","23888","12666"
"1360","4.4  ",2015,"Dodge","Durango","33350","32630"
"1361","4.9  ",2014,"Hyundai","Accent","9250","31331"
"1362","4.9  ",2019,"Lincoln","MKC","45380",NA
"1363","4.8  ",2016,"Ford","Expedition","43995","40242"
"1364","4.7  ",2015,"Toyota","RAV4","18643","38274"
"1365","4.7  ",2016,"Toyota","Camry","17489","26375"
"1366","4.6  ",2011,"Lexus","IS","33495","49056"
"1367","4.6  ",2015,"Audi","RS","50997","21095"
"1368","4.8  ",2018,"Kia","Sportage","30410",NA
"1369",NA,2015,"Honda","Accord","13778","36258"
"1370","4.5  ",2012,"Chevrolet","Cruze","6988","65957"
"1371",NA,2011,"Subaru","Forester","6728","112022"
"1372","4.9  ",2015,"Subaru","Forester","17440","48009"
"1373","4.9  ",2015,"Subaru","Impreza","14998","46209"
"1374","4.6  ",2018,"Ford","F","42843",NA
"1375","5  ",2019,"Toyota","Tundra","43874",NA
"1376",NA,2009,"Subaru","Outback","4499","184265"
"1377","5  ",2018,"Toyota","Prius","22564",NA
"1378","5  ",2018,"Toyota","Camry","26543",NA
"1379","4.8  ",2018,"Honda","Accord","28365",NA
"1380","4.8  ",2019,"Hyundai","Veloster","22900",NA
"1381","4.8  ",2018,"Hyundai","Tucson","24444",NA
"1382","4.8  ",2014,"Kia","Cadenza","17500","33116"
"1383","4.8  ",2016,"Volkswagen","Jetta","12980","49543"
"1384","4.4  ",2018,"Nissan","Rogue","26510",NA
"1385","4.7  ",2018,"Hyundai","Tucson","25925",NA
"1386","4.7  ",2018,"Hyundai","Sonata","22229",NA
"1387","5  ",2005,"Dodge","Dakota","9500","57460"
"1388","4.9  ",2018,"Honda","Accord","24465",NA
"1389","4.1  ",2014,"RAM","1500","24941","48201"
"1390","5  ",2004,"Toyota","Matrix","4495","112052"
"1391","4.6  ",2018,"Chevrolet","Camaro","37988",NA
"1392","5  ",2014,"Hyundai","Santa","16884","45272"
"1393","5  ",2014,"Subaru","BRZ","16750","47023"
"1394","4.9  ",2015,"Ford","F","40995","36735"
"1395","4.7  ",2018,"Toyota","Camry","18600","11278"
"1396","3.8  ",2016,"Ford","Focus","29900","23115"
"1397","4.6  ",2018,"Jeep","Wrangler","32989",NA
"1398","4.6  ",2019,"Chrysler","Pacifica","36907",NA
"1399","4.9  ",2019,"Nissan","Rogue","36535",NA
"1400","4.9  ",2018,"Nissan","Murano","43130",NA
"1401","4.6  ",2015,"BMW","535","28955","56145"
"1402","4.8  ",2012,"Nissan","Altima","8900","204"
"1403","4.9  ",2018,"Jeep","Wrangler","60430",NA
"1404","5  ",2002,"Dodge","Ram","12995","97314"
"1405","4.8  ",2018,"Ford","Transit","33080",NA
"1406","4.8  ",2001,"Ford","Ranger","4550","108060"
"1407","4.8  ",2005,"Ford","Focus","1450","112298"
"1408","4.8  ",2003,"Mitsubishi","Eclipse","1750","142721"
"1409",NA,2007,"Acura","TSX","4199","152135"
"1410","4.9  ",2016,"Honda","CR","22703","14785"
"1411","4.9  ",2016,"Honda","Pilot","29053","49373"
"1412","4.7  ",2019,"Kia","Optima","23024",NA
"1413","4.7  ",2019,"Kia","Sorento","31462",NA
"1414","4.7  ",2019,"Kia","Optima","23059",NA
"1415","4.7  ",2019,"Kia","Sportage","21638",NA
"1416","4.9  ",2018,"Nissan","Pathfinder","35532",NA
"1417","4.6  ",2014,"Nissan","Rogue","11450","73612"
"1418","4.8  ",2018,"Lexus","GS","57815",NA
"1419","5  ",2014,"MINI","Countryman","13997","48037"
"1420","4.8  ",2019,"Honda","Insight","28985",NA
"1421","4.8  ",2015,"Honda","Civic","14478","15459"
"1422","4.8  ",2019,"Honda","Insight","23725",NA
"1423","5  ",2019,"Chevrolet","Traverse","36749",NA
"1424","4.8  ",2009,"Nissan","Versa","1898","143904"
"1425","5  ",2019,"GMC","Acadia","40479",NA
"1426","4.9  ",2013,"INFINITI","G37x","13995","82284"
"1427","5  ",2018,"GMC","Sierra","58000",NA
"1428","4.8  ",2016,"Volkswagen","Touareg","61840",NA
"1429","4.8  ",2016,"Volkswagen","Jetta","19995","16441"
"1430","4.4  ",2018,"Chevrolet","Equinox","36695",NA
"1431","4.4  ",2018,"Buick","Enclave","39875","15047"
"1432","4.7  ",2017,"Jeep","Grand","29980","35747"
"1433","4.8  ",2017,"Ford","Escape","17650","22028"
"1434","4.1  ",2018,"Nissan","Rogue","26665",NA
"1435","3.8  ",2019,"Chevrolet","Equinox","31940",NA
"1436","4.7  ",2010,"Mercedes","Benz","14999","74405"
"1437","4.5  ",2003,"Toyota","Camry","6926","62852"
