"","Ratings","Year","Make","Model","Price","Mileage"
"110","4.7  ",2019,"Kia","Soul","17076",NA
"111","4.8  ",2016,"Ford","Mustang","20649","12891"
"112","4.8  ",2015,"Lexus","GX","36764","33454"
"113","4.8  ",2016,"Honda","Accord","18490","30797"
"114","4.8  ",2015,"Toyota","RAV4","17681","33188"
"115","4.9  ",2016,"Mazda","CX","18888","22062"
"116","4.8  ",2015,"Toyota","RAV4","18273","35290"
"117","4.9  ",2015,"Subaru","Forester","13495","73329"
"118","4.8  ",2015,"Volkswagen","Jetta","9317","70844"
"119","4.8  ",2019,"Toyota","Avalon","43958",NA
"120","4.8  ",2012,"Toyota","Sienna","13502","115169"
"121","4.8  ",2015,"MINI","Hardtop","16788","38285"
"122","4.5  ",2011,"Land","Rover","16918","91944"
"123","4.8  ",2014,"Nissan","GT","74842","24381"
"124","4.7  ",2016,"FIAT","500X","16280","11889"
"125","4.7  ",2013,"Jeep","Grand","22380","68400"
"126","4.8  ",2016,"Nissan","Maxima","21424","18895"
"127","4.7  ",2016,"Ford","F","33598","37466"
"128","4.8  ",2010,"BMW","X3","12998","59904"
"129","4.7  ",2018,"Honda","Accord","20199","5036"
"130","4.8  ",2017,"Toyota","Highlander","33998","22389"
"131","3.8  ",2016,"Chevrolet","Silverado","33665","57497"
"132","3.8  ",2013,"Ford","F","25555","71236"
"133","3.8  ",2014,"Mercedes","Benz","44944","38058"
"134","4.6  ",2014,"BMW","X1","15987","67894"
"135","4.9  ",2014,"Chevrolet","Camaro","19995","17002"
"136","4.8  ",2016,"Honda","Accord","19537","19666"
"137","4.9  ",2002,"Chevrolet","Monte","14995","46229"
"138","4.8  ",2017,"Ford","F","39497","26882"
"139","5  ",2003,"Porsche","911","28988","70941"
"140","5  ",2019,"Subaru","Ascent","44447",NA
"141","4.8  ",2016,"Toyota","Avalon","20950","61452"
"142","4.9  ",2013,"Tesla","Model","41500","37865"
"143","4.3  ",2007,"Acura","MDX","6898","205108"
"144","4.8  ",2014,"Toyota","Corolla","13450","28820"
"145","4.9  ",2015,"Lexus","LS","39987","60195"
"146",NA,2018,"Alfa","Romeo","86940",NA
"147","5  ",2015,"Bentley","Flying","114425","19000"
"148","4.9  ",2017,"Audi","Q7","45944","32025"
"149","4.7  ",2017,"Tesla","Model","73998","13452"
"150","4.8  ",2017,"Acura","MDX","40500","11488"
"151","4.8  ",2019,"Acura","RDX","40295",NA
"152","4.8  ",2019,"Acura","RDX","43895",NA
"153","4.9  ",2014,"Toyota","FJ","28980","79293"
"154","4.9  ",2015,"Toyota","4Runner","25480","59211"
"155","4.1  ",2014,"Ford","Escape","11998","89610"
"156","4.7  ",2015,"Jeep","Grand","23758","31801"
"157","4.6  ",2016,"Ford","F","27999","69588"
"158","4.6  ",2018,"Toyota","Camry","25999","6508"
"159","4.7  ",2016,"Honda","Accord","17977","24577"
"160","4.2  ",2013,"Jeep","Wrangler","21197","34234"
"161","4.2  ",2016,"Honda","Pilot","25997","27750"
"162","4.2  ",2018,"Audi","Q5","33777","13671"
"163","4.2  ",2017,"Hyundai","Santa","18997","25620"
"164","4.4  ",2015,"GMC","Sierra","23925","28360"
"165","4.8  ",2018,"Ford","F","77385",NA
"166","4.7  ",2015,"Toyota","RAV4","18729","33991"
"167","4.7  ",2011,"Nissan","Altima","9999","60683"
"168","4.7  ",2017,"Toyota","Highlander","33740","18510"
"169","4.7  ",2017,"Toyota","RAV4","27480","15653"
"170","4.7  ",2016,"Toyota","Camry","10988","109075"
"171","4.8  ",2014,"Lexus","LX","42998","68322"
"172","4.8  ",2015,"Lexus","IS","28998","41283"
"173","4.9  ",2015,"Subaru","Forester","16980","55384"
"174","4.8  ",2016,"GMC","Acadia","27980","38406"
"175","4.9  ",2014,"Volvo","S60","14980","59881"
"176","4.6  ",2018,"Ford","F","52176",NA
"177","4.9  ",2016,"Mazda","Mazda3","13475","25343"
"178","4.8  ",2018,"Audi","Q5","35424","12825"
"179","4.8  ",2009,"Subaru","Outback","9925","84292"
"180","4.8  ",2008,"Lexus","GS","10307","117193"
"181","5  ",2018,"Mazda","Mazda6","28783",NA
"182","5  ",2018,"Mazda","CX","37600",NA
"183","4.7  ",2015,"Jeep","Grand","19997","46865"
"184","5  ",2016,"Cadillac","CTS","59800","16065"
"185","4  ",2017,"Dodge","Challenger","16900","44889"
"186","4.9  ",2018,"Honda","Accord","24884","2491"
"187","4.9  ",2014,"INFINITI","Q50","18884","59725"
"188","4.6  ",2015,"Ford","F","29642","51759"
"189","4.7  ",2018,"Mitsubishi","Mirage","15760",NA
"190","4.8  ",2007,"Toyota","Tacoma","18995","73905"
"191","4.7  ",2018,"Toyota","Tacoma","45197",NA
"192","4.9  ",2013,"Jeep","Wrangler","18500","71083"
"193","4.6  ",2011,"Chevrolet","Corvette","34988","11250"
"194","4.9  ",2010,"Ford","Escape","9995","96242"
"195","4.9  ",2019,"Acura","TLX","39195",NA
"196","4.8  ",2018,"Nissan","Frontier","25485",NA
"197","4.8  ",2006,"Pontiac","G6","4490","78618"
"198","4.8  ",2014,"Jeep","Wrangler","28729","44411"
"199","4.6  ",2018,"Jeep","Wrangler","38050",NA
"200","4.9  ",2012,"Mazda","Mazda3","10000","58688"
"201","4.8  ",2015,"Audi","A5","27131","41729"
"202","4.7  ",2013,"BMW","M3","43500","43298"
"203","4.6  ",2016,"BMW","328","26988","47610"
"204","4.6  ",2015,"BMW","528","29245","29211"
"205","4.9  ",2014,"Chevrolet","Impala","11995","49345"
"206","4.6  ",2012,"Ford","Focus","5995","121472"
"207","4.9  ",2016,"Chevrolet","Silverado","28523","14950"
"208","4.9  ",2016,"Toyota","Highlander","34544","29229"
"209","4.8  ",2017,"Volkswagen","Jetta","20495","23010"
"210","4.8  ",2018,"Lexus","GS","48671","1349"
"211","5  ",2015,"Jeep","Grand","27899","29414"
"212","4.8  ",2015,"GMC","Sierra","31839","62868"
"213","4.8  ",2006,"Toyota","Sienna","6000","126049"
"214","4.9  ",2019,"Mazda","MX","38210",NA
"215","4.8  ",2009,"Ford","Focus","4247","78153"
"216","4.8  ",2012,"Toyota","Venza","11250","99420"
"217","5  ",2018,"GMC","Acadia","32815","4273"
"218","4.4  ",2015,"GMC","Sierra","26995","42867"
"219","3.8  ",2016,"Jaguar","XF","33719","19958"
"220","4.4  ",2016,"Ford","Explorer","20987","66957"
"221","4.9  ",2016,"Acura","ILX","19987","11280"
"222","5  ",2017,"Mercedes","Benz","119995","8199"
"223","4.4  ",2019,"Volvo","XC60","52730",NA
"224","4.4  ",2019,"Volvo","XC60","51430",NA
"225","4.7  ",2011,"Subaru","Outback","14899","51551"
"226","4.6  ",2017,"Nissan","Maxima","20488","17720"
"227","4.4  ",2016,"Subaru","Forester","20731","12834"
"228","4.9  ",2016,"Volkswagen","Golf","21991","32243"
"229","4.9  ",2015,"Toyota","Highlander","24591","70129"
"230","4.9  ",2018,"Volkswagen","Atlas","33991","17595"
"231","4.9  ",2017,"Volkswagen","Golf","22591","31788"
"232","4.8  ",2016,"Honda","Pilot","29754","36092"
"233","4.9  ",2017,"Lincoln","Continental","54984","10454"
"234","4.8  ",2016,"Honda","Odyssey","28132","41275"
"235","4.9  ",2017,"Lincoln","Continental","38217","21835"
"236","4.8  ",2017,"Honda","Accord","22757","30042"
"237","4.4  ",2012,"Toyota","Tacoma","22493","63060"
"238","4.9  ",2018,"Ford","F","35401","13769"
"239","4.4  ",2006,"Chevrolet","Silverado","17500","39626"
"240","4.4  ",2004,"Chevrolet","Impala","5500","54583"
"241","4.9  ",2015,"Ford","F","26747","44942"
"242","4.7  ",2000,"Honda","Civic","4999","74839"
"243","4.9  ",2018,"Volvo","XC60","62400",NA
"244","4.8  ",2016,"Toyota","RAV4","22450","17599"
"245","4.8  ",2015,"Ford","F","26199","40171"
"246","4.9  ",2018,"Volvo","XC90","67955",NA
"247","4.8  ",2016,"Toyota","Highlander","28950","23911"
"248","4.3  ",2012,"BMW","X5","17970","73873"
"249","5  ",2018,"Alfa","Romeo","37385","10103"
"250","4.7  ",2004,"Honda","Accord","4600","110390"
"251","4.8  ",2019,"Subaru","Ascent","42920",NA
"252","4.7  ",2009,"Acura","TL","6998","151747"
"253","4.7  ",2013,"Toyota","Sienna","14422","69830"
"254","4.8  ",2019,"Acura","RDX","48795",NA
"255","4.8  ",2019,"Acura","RDX","46495",NA
"256","4.5  ",2016,"Ford","F","19977","31509"
"257","4.6  ",2012,"Cadillac","SRX","19999","12971"
"258","4.6  ",2012,"GMC","Sierra","19999","144018"
"259","4.2  ",2016,"Nissan","Frontier","21797","47408"
"260","4.9  ",2017,"BMW","M2","42979","33136"
"261","4.7  ",2015,"Subaru","Legacy","17983","36005"
"262","4.7  ",2014,"Subaru","Impreza","13211","45487"
"263","4.7  ",2013,"Subaru","Forester","13890","87468"
